timestamp_index,reconstruction_error
1674,4.181453
1675,4.6522546
1680,4.3961062
1681,4.5930433
1682,4.3301897
1689,4.3562307
1694,4.2331185
1696,4.33401
1700,4.631245
1704,4.782707
1705,4.2917867
1706,4.7736993
1709,4.127112
1710,4.141594
1711,4.0897646
1712,4.7858605
1713,4.105688
1714,5.0298276
1717,4.2246923
1720,4.633209
1721,4.1477227
1723,4.6745763
1724,4.6673255
1725,4.5913925
1726,4.6505384
1727,5.129689
1728,4.5158086
1729,5.208534
1730,5.043359
1731,5.114217
1732,4.7435966
1875,4.0891867
1876,4.389304
1877,4.2212973
1878,4.085927
1881,4.412809
1882,4.82951
1883,4.2500443
1886,4.0855713
1888,4.7853484
1891,4.264483
1892,4.2778687
1894,4.449613
1897,5.0339518
1898,4.5129685
1899,5.737942
1901,5.1446137
1902,4.7378907
1904,4.770569
1905,5.577073
1906,4.8783617
1907,5.108742
1908,5.237702
1909,5.316697
1910,5.303349
1911,5.8572707
1912,5.885607
1913,5.452363
1914,4.9213543
1915,4.6225467
1916,4.6899877
1917,4.7685537
1918,5.544815
1919,5.608965
1920,4.904061
1921,5.4862437
1922,4.5877457
1923,5.032237
1924,5.4568634
1925,6.1942782
1926,4.925284
1927,5.0439177
1928,6.121802
1929,4.947333
1930,6.855179
1931,5.929627
1932,6.1814685
1933,6.0541906
3780,4.440275
3781,4.1339207
3782,4.3911176
3786,4.6920724
3789,4.425221
3799,4.1896296
3800,4.176883
3801,4.710467
3802,4.458404
3803,4.6275973
3804,4.3918524
3805,4.23527
3806,4.584262
3807,4.6795454
3808,4.719793
3809,4.3545747
3810,5.5322666
3811,4.4301143
3814,4.4684467
3815,5.4911304
3816,4.716272
3817,4.512489
3818,4.406092
3819,4.4845867
3821,4.5705075
3822,5.0608916
3824,4.149889
3825,5.026269
3827,4.812532
3828,4.090736
3829,4.494974
3830,5.230189
3831,4.1841955
4507,4.9040346
4508,4.9866877
4509,4.5199766
4510,4.481419
4513,4.397894
4514,4.6771917
4515,4.811942
4516,4.4677567
4518,4.124267
4519,4.421384
4520,4.8627872
4522,4.1002345
4523,4.2117496
4524,4.6406035
4525,4.3556347
4526,4.8153396
4527,5.117751
4528,4.7432456
4529,4.537822
4530,4.428154
4531,4.734746
4532,4.3349123
4534,4.5015717
4535,4.0763764
4536,4.7333894
4537,4.316497
4538,5.0083833
4539,4.3898845
4540,4.7500577
4541,4.3571525
4542,4.59073
4543,4.1309066
4544,4.873451
4545,4.3422656
4546,5.8335147
4548,4.752914
4550,4.385139
4551,4.2472844
4552,4.808863
4553,4.7491317
4554,5.4936194
4555,4.8976274
4556,4.164195
4557,4.9843974
4558,5.0743566
4559,4.1579566
4560,5.2406096
4561,5.8795214
4562,5.011458
4563,6.8007975
4564,6.6846905
4565,7.482475
4566,4.848536
5236,4.0774684
5243,4.4267344
5244,4.5405226
5248,4.574216
5249,4.3981013
5251,4.414027
5252,4.1705194
5253,4.558568
5254,4.4906936
5255,4.315523
5256,4.153499
5257,4.1790667
5264,4.178728
5267,4.1961484
5268,4.2053504
5270,4.0957417
5271,4.1110435
5272,4.117617
5273,4.1036997
5275,4.0924687
5276,4.1215987
5461,4.5106525
5462,4.2043734
5463,4.952272
5464,4.666392
5465,4.754525
5466,4.5963516
5467,4.1344934
5468,4.193967
5469,4.536207
5470,4.2197237
5471,4.0842953
5472,4.407677
5473,5.0808663
5475,4.5398493
5476,4.7665663
5477,4.0790143
5478,4.8103766
5480,4.248152
5481,4.961924
5482,4.363621
5483,4.134023
5484,5.056181
5485,5.633158
5486,5.748639
5487,4.798318
5488,6.5026593
5489,5.507527
5490,4.948392
5491,4.5849586
5492,5.0443263
5493,6.47825
5494,5.5629163
5495,4.6086087
5496,6.225206
5497,5.989932
5498,5.619271
5499,6.156482
5500,5.47789
5501,6.815199
5502,6.58001
5503,5.1020427
5504,5.4301
5505,6.2242675
5507,6.6442137
5508,7.2618127
5509,6.79527
5510,6.3931937
5511,5.3093977
5512,6.4701486
5513,6.498387
5514,5.3032327
5515,6.844477
5516,6.5869694
5517,7.564021
5518,6.7496305
5519,7.234533
5520,7.352847
5521,4.6541924
5522,4.9105854
5523,4.6020627
5525,4.2538605
5526,4.228457
5528,4.108966
5531,4.438082
8010,6.1219974
8011,5.4115696
8012,6.7728972
8013,5.7682424
8014,5.117358
8015,4.2843747
8016,5.9118123
8017,6.198383
8018,6.6748524
8019,6.032396
8020,4.8505664
8021,5.2158146
8022,6.58339
8023,5.413394
8024,5.6129284
8025,5.391269
8026,6.742123
8027,5.6549315
8028,6.0581403
8029,5.019929
8030,5.6774893
8031,4.9679236
8032,5.625701
8033,6.081104
8034,6.417657
8035,5.73038
8036,4.4810705
8037,6.0256476
8038,6.7981243
8039,4.5543594
8040,5.2073774
8041,5.9005566
8042,5.754746
8043,5.9337025
8044,5.73219
8045,5.841803
8046,5.572877
8047,5.328005
8048,5.378499
8049,5.6097655
8050,6.3314357
8051,6.57064
8052,5.687962
8053,7.0840077
8054,7.046475
8055,5.2894835
8056,6.0061474
8057,6.20856
8058,5.9049506
8059,5.39086
8060,5.677005
8061,6.0893087
8062,6.065551
8063,5.8525066
8064,6.1649737
8065,5.4527965
8066,6.481156
8067,6.3236794
8068,6.321216
8069,5.8903637
8421,4.3146963
8423,4.431625
8427,4.35338
8428,4.0958486
8430,4.2549314
8434,4.2921476
